C,gamma,kernel,accuracy,recall,model_type,n_estimators,max_depth,learning_rate
10.0,5.556,rbf,0.6079836233367452,0.0,SVM,,,
10.0,6.667000000000001,rbf,0.6079836233367452,0.0,SVM,,,
10.0,7.778,rbf,0.6079836233367452,0.0,SVM,,,
10.0,8.889,rbf,0.6079836233367452,0.0,SVM,,,
10.0,10.0,rbf,0.6079836233367452,0.0,SVM,,,
0.001,,linear,0.7287615148413511,0.4203655352480417,SVM,,,
1.112,,linear,0.7635619242579325,0.5639686684073107,SVM,,,
2.223,,linear,0.759467758444217,0.5587467362924282,SVM,,,
3.334,,linear,0.7615148413510747,0.5587467362924282,SVM,,,
4.445,,linear,0.7615148413510747,0.5639686684073107,SVM,,,
5.556,,linear,0.7615148413510747,0.5639686684073107,SVM,,,
6.667000000000001,,linear,0.7625383828045036,0.5639686684073107,SVM,,,
7.778,,linear,0.7645854657113613,0.566579634464752,SVM,,,
8.889,,linear,0.7656090071647902,0.5691906005221932,SVM,,,
10.0,,linear,0.7645854657113613,0.5718015665796344,SVM,,,
0.001,0.001,sigmoid,0.6079836233367452,0.0,SVM,,,
0.001,0.001,poly,0.6100307062436029,0.0052219321148825,SVM,,,
0.001,1.112,sigmoid,0.6079836233367452,0.0,SVM,,,
0.001,1.112,poly,0.8311156601842374,0.7049608355091384,SVM,,,
0.001,2.223,sigmoid,0.6079836233367452,0.0,SVM,,,
0.001,2.223,poly,0.8311156601842374,0.7049608355091384,SVM,,,
0.001,3.334,sigmoid,0.6079836233367452,0.0,SVM,,,
0.001,3.334,poly,0.8311156601842374,0.7049608355091384,SVM,,,
0.001,4.445,sigmoid,0.6079836233367452,0.0,SVM,,,
0.001,4.445,poly,0.8311156601842374,0.7049608355091384,SVM,,,
0.001,5.556,sigmoid,0.6079836233367452,0.0,SVM,,,
0.001,5.556,poly,0.8311156601842374,0.7049608355091384,SVM,,,
0.001,6.667000000000001,sigmoid,0.6079836233367452,0.0,SVM,,,
0.001,6.667000000000001,poly,0.8311156601842374,0.7049608355091384,SVM,,,
0.001,7.778,sigmoid,0.6079836233367452,0.0,SVM,,,
0.001,7.778,poly,0.8311156601842374,0.7049608355091384,SVM,,,
0.001,8.889,sigmoid,0.6079836233367452,0.0,SVM,,,
0.001,8.889,poly,0.8311156601842374,0.7049608355091384,SVM,,,
0.001,10.0,sigmoid,0.6079836233367452,0.0,SVM,,,
0.001,10.0,poly,0.8311156601842374,0.7049608355091384,SVM,,,
1.112,0.001,sigmoid,0.7154554759467758,0.3994778067885117,SVM,,,
1.112,0.001,poly,0.6560900716479018,0.1253263707571801,SVM,,,
1.112,1.112,sigmoid,0.5250767656090072,0.3942558746736292,SVM,,,
1.112,1.112,poly,0.8311156601842374,0.7049608355091384,SVM,,,
1.112,2.223,sigmoid,0.5240532241555783,0.391644908616188,SVM,,,
1.112,2.223,poly,0.8311156601842374,0.7049608355091384,SVM,,,
1.112,3.334,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
