eval_id,algorithm,accuracy,abnormal_recall,false_negative_rate,f1_score,train_time,test_time,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_samples_split,min_samples_leaf,C,kernel,gamma
1,xgb,0.8700102354145343,0.7728459530026109,0.22715404699738903,0.8682351025147428,17.726279497146606,0.0595545768737793,222.0,11.0,0.1920317004358,0.9595588479191,0.9975960500538,,,,,
2,rf,0.8280450358239508,0.6214099216710183,0.3785900783289817,0.8197644393910931,7.5977959632873535,0.0705404281616211,243.0,32.0,,,,4.0,2.0,,,
3,svm,0.6407369498464688,0.5117493472584856,0.48825065274151436,0.6385880147973771,15.37903118133545,3.233236074447632,,,,,,,,1.1781544926398,sigmoid,0.0052204651222
4,rf,0.8055271238485159,0.5718015665796344,0.4281984334203655,0.7942795103886492,8.299020051956177,0.06274843215942383,330.0,48.0,,,,15.0,6.0,,,
5,rf,0.804503582395087,0.5535248041775457,0.4464751958224543,0.7915267519985166,3.9759609699249268,0.03154563903808594,168.0,13.0,,,,10.0,4.0,,,
6,svm,0.6796315250767656,0.587467362924282,0.412532637075718,0.6794051917523449,12.600454330444336,2.760037899017334,,,,,,,,49.2368562225003,sigmoid,0.001382640964
7,svm,0.8515864892528148,0.7493472584856397,0.2506527415143603,0.8495597627136827,26.38927936553955,4.05041766166687,,,,,,,,0.3189925751298,poly,0.3801253275973
8,xgb,0.8802456499488229,0.7754569190600522,0.2245430809399478,0.8782632334897903,23.566428422927856,0.05216336250305176,306.0,9.0,0.0865941521732,0.7102650620043,0.8460768803954,,,,,
9,xgb,0.872057318321392,0.7676240208877284,0.23237597911227154,0.8700341410641614,34.64946985244751,0.06349611282348633,486.0,11.0,0.0625991422106,0.7344901710749,0.6058399945498,,,,,
10,rf,0.8065506653019447,0.5796344647519582,0.42036553524804177,0.795966154356379,1.3938848972320557,0.015345335006713867,51.0,42.0,,,,11.0,7.0,,,
11,svm,0.8096212896622313,0.6475195822454308,0.3524804177545692,0.8041831770516037,21.835113048553467,7.315296649932861,,,,,,,,0.2151846294505,rbf,0.0087964278092
12,rf,0.8249744114636642,0.6057441253263708,0.39425587467362927,0.8156121572892362,14.558602571487427,0.23441839218139648,476.0,38.0,,,,5.0,2.0,,,
13,xgb,0.8730808597748209,0.7571801566579635,0.24281984334203655,0.8706396854936261,29.221962928771973,0.06840968132019043,375.0,15.0,0.1072368508853,0.8367314606905,0.8636708289385,,,,,
14,svm,0.8526100307062436,0.7545691906005222,0.2454308093994778,0.8507508873460383,26.435412406921387,4.211734771728516,,,,,,,,8.0658252595917,poly,0.0139504832151
15,rf,0.7543500511770727,0.40992167101827676,0.5900783289817232,0.7259476468312182,7.220738410949707,0.0472414493560791,439.0,7.0,,,,9.0,5.0,,,
16,xgb,0.8659160696008188,0.7362924281984334,0.26370757180156656,0.8628479403278977,7.160069704055786,0.06310486793518066,65.0,10.0,0.2631085744395,0.9853336911649,0.751121815294,,,,,
17,xgb,0.8659160696008188,0.7336814621409922,0.26631853785900783,0.8627350260795796,46.74490809440613,0.0844883918762207,329.0,14.0,0.0234046752926,0.988281173259,0.8088667694479,,,,,
18,rf,0.8157625383828045,0.5900783289817232,0.40992167101827676,0.8055683348235602,4.813778877258301,0.06356525421142578,177.0,26.0,,,,10.0,6.0,,,
19,svm,0.5301944728761515,0.37597911227154046,0.6240208877284595,0.5279174274910416,19.766504049301147,3.4728145599365234,,,,,,,,0.4261069400224,sigmoid,0.0517849160661
20,xgb,0.834186284544524,0.6370757180156658,0.3629242819843342,0.8267657490859858,16.073514223098755,0.053603410720825195,132.0,10.0,0.0106243606404,0.8396544340998,0.7213173683733,,,,,
21,rf,0.8024564994882293,0.5639686684073107,0.4360313315926893,0.7906527625222095,5.736747741699219,0.04665374755859375,231.0,40.0,,,,3.0,9.0,,,
22,svm,0.8515864892528148,0.7493472584856397,0.2506527415143603,0.8495597627136827,32.42693257331848,4.201071262359619,,,,,,,,4.3043272934594,poly,0.0823480998908
23,svm,0.5752302968270215,0.4412532637075718,0.5587467362924282,0.5738625462079163,18.63519597053528,3.229902505874634,,,,,,,,0.6294489891619,sigmoid,0.0224897980719
24,xgb,0.8587512794268168,0.7154046997389034,0.2845953002610966,0.8549709980271427,37.065431356430054,0.06874442100524902,244.0,13.0,0.0222140227971,0.7389659885317,0.960398202762,,,,,
25,xgb,0.81985670419652,0.5796344647519582,0.42036553524804177,0.8085042003711718,12.444089651107788,0.047396183013916016,63.0,15.0,0.0131134187849,0.7132033657283,0.7881243567914,,,,,
26,svm,0.8659160696008188,0.8015665796344648,0.19843342036553524,0.8651907967213468,18.96742343902588,5.601496696472168,,,,,,,,16.8310965526995,rbf,0.003631740361
27,svm,0.6079836233367452,0.0,1.0,0.4597610086085635,30.423728942871094,9.570734739303589,,,,,,,,2.2095040943174,rbf,0.9980390205642
28,rf,0.8065506653019447,0.5691906005221932,0.4308093994778068,0.7949915653714901,10.80321741104126,0.08301854133605957,429.0,20.0,,,,7.0,7.0,,,
29,xgb,0.857727737973388,0.7101827676240209,0.2898172323759791,0.8537284801312287,27.30205225944519,0.05487513542175293,176.0,12.0,0.0181773580121,0.8154538821429,0.9303057771176,,,,,
30,svm,0.6161719549641761,0.02349869451697128,0.9765013054830287,0.47988228825310053,29.686933755874634,9.479801416397095,,,,,,,,24.8420901364012,rbf,0.2652658277733
31,rf,0.7993858751279427,0.5535248041775457,0.4464751958224543,0.786743314049714,11.390457153320312,0.0946958065032959,488.0,46.0,,,,6.0,9.0,,,
32,xgb,0.8751279426816786,0.7571801566579635,0.24281984334203655,0.8726273872071302,43.310107469558716,0.12192344665527344,485.0,13.0,0.040059986774,0.9640438437462,0.6428547877818,,,,,
33,xgb,0.8280450358239508,0.6370757180156658,0.3629242819843342,0.8209143072816153,5.738526105880737,0.048928022384643555,145.0,4.0,0.0306139000094,0.8953874878585,0.7122648589313,,,,,
34,rf,0.7768679631525077,0.4830287206266319,0.5169712793733682,0.7576324618933143,4.544232130050659,0.03901839256286621,222.0,10.0,,,,12.0,10.0,,,
35,svm,0.526100307062436,0.3577023498694517,0.6422976501305483,0.522422934758892,21.324522018432617,3.4612009525299072,,,,,,,,0.1243468500208,sigmoid,0.0840969068407
36,xgb,0.849539406345957,0.6971279373368147,0.3028720626631854,0.8451726607367255,27.85616660118103,0.0474703311920166,285.0,9.0,0.0124878753557,0.9438678372651,0.8247154474258,,,,,
37,rf,0.8106448311156602,0.5744125326370757,0.4255874673629243,0.7993303682207707,4.7723472118377686,0.03963875770568848,188.0,35.0,,,,20.0,7.0,,,
38,svm,0.5281473899692938,0.37597911227154046,0.6240208877284595,0.5261210082193766,18.802119970321655,3.3399274349212646,,,,,,,,13.8642201522612,sigmoid,0.055731861407
39,svm,0.5997952917093142,0.5013054830287206,0.49869451697127937,0.6005915620966544,14.76948881149292,2.946831464767456,,,,,,,,2.6554613683012,sigmoid,0.0064619737963
40,xgb,0.8515864892528148,0.7049608355091384,0.2950391644908616,0.8475482772504996,19.87633728981018,0.04728078842163086,397.0,6.0,0.0170464495882,0.6461152542382,0.6575341701508,,,,,
41,xgb,0.8219037871033776,0.6240208877284595,0.37597911227154046,0.814130864973408,12.324458122253418,0.06584525108337402,352.0,4.0,0.010041967321,0.6203157600015,0.890744240582,,,,,
42,svm,0.8372569089048106,0.6657963446475196,0.3342036553524804,0.8316010864744919,19.039113759994507,5.639872312545776,,,,,,,,3.1935834271135,rbf,0.0020007739244
43,svm,0.8515864892528148,0.7493472584856397,0.2506527415143603,0.8495597627136827,30.30662250518799,4.059983730316162,,,,,,,,0.8455623980992,poly,0.2303037737782
44,rf,0.8034800409416581,0.5639686684073107,0.4360313315926893,0.7916105119897611,11.854512214660645,0.08939290046691895,497.0,16.0,,,,15.0,8.0,,,
45,xgb,0.8618219037871033,0.7258485639686684,0.2741514360313316,0.8584257675532647,28.330567359924316,0.07106137275695801,466.0,7.0,0.0212684093116,0.9196305092424,0.6266635492444,,,,,
46,svm,0.6079836233367452,0.0,1.0,0.4597610086085635,30.263760566711426,9.952641487121582,,,,,,,,68.1423731679024,rbf,0.8204125818898
47,rf,0.8024564994882293,0.5613577023498695,0.4386422976501306,0.7903968150851786,10.676022052764893,0.0791313648223877,417.0,30.0,,,,17.0,7.0,,,
48,xgb,0.849539406345957,0.7101827676240209,0.2898172323759791,0.8458413913357773,9.981372594833374,0.049509525299072266,213.0,5.0,0.0521176788372,0.8711869344115,0.939212564379,,,,,
49,xgb,0.8700102354145343,0.7728459530026109,0.22715404699738903,0.8682351025147428,21.20141100883484,0.06528735160827637,407.0,7.0,0.1471152531378,0.855356856063,0.6937736798078,,,,,
50,rf,0.8137154554759468,0.5900783289817232,0.40992167101827676,0.803637285322674,4.724289178848267,0.027576684951782227,170.0,48.0,,,,18.0,4.0,,,
51,svm,0.6745138178096213,0.16971279373368145,0.8302872062663186,0.5933593633944991,23.405282735824585,5.122068881988525,,,,,,,,1.6005396293493,poly,0.0013556380202
52,xgb,0.8587512794268168,0.7310704960835509,0.2689295039164491,0.85569458111828,11.792975902557373,0.04126381874084473,266.0,5.0,0.0666986287494,0.9038249395788,0.9813230823725,,,,,
53,rf,0.8096212896622313,0.577023498694517,0.42297650130548303,0.7986104680646778,6.1931798458099365,0.047388553619384766,238.0,17.0,,,,13.0,3.0,,,
54,svm,0.623336745138178,0.5456919060052219,0.45430809399477806,0.6249040418738304,13.278783082962036,2.922525405883789,,,,,,,,34.0632977335286,sigmoid,0.004844746465
55,rf,0.7952917093142272,0.5352480417754569,0.46475195822454307,0.7809962869655471,7.490804195404053,0.04748702049255371,321.0,13.0,,,,6.0,6.0,,,
56,xgb,0.8607983623336745,0.7571801566579635,0.24281984334203655,0.8587489884882833,15.928785800933838,0.1692509651184082,152.0,9.0,0.1127045791381,0.6060693286359,0.748492391035,,,,,
57,xgb,0.8638689866939611,0.7467362924281984,0.25326370757180156,0.8613038869287318,13.78097653388977,0.05875372886657715,196.0,6.0,0.0818475528261,0.630282099545,0.9027897145599,,,,,
58,svm,0.8515864892528148,0.7493472584856397,0.2506527415143603,0.8495597627136827,26.659817457199097,4.1533308029174805,,,,,,,,62.4526040000604,poly,0.1386951068439
59,svm,0.81985670419652,0.6814621409921671,0.3185378590078329,0.8159583063537484,24.021753311157227,7.6339335441589355,,,,,,,,0.2489447390553,rbf,0.0160746366345
60,rf,0.8106448311156602,0.577023498694517,0.42297650130548303,0.7995729466426152,12.587698936462402,0.212874174118042,436.0,43.0,,,,17.0,5.0,,,
